"client_account_id","date","event_name","manager_id","manager_nickname"
0,"2022-05-09",first_touch,1.0,Justin Beiber
1,"2022-03-21",first_touch,3.0,Joe Biden
2,"2022-04-18",first_touch,2.0,Kylie Jenner
3,"2022-02-07",first_touch,2.0,Kylie Jenner
4,"2022-04-08",first_touch,1.0,Justin Beiber
5,"2021-09-29",first_touch,2.0,Kylie Jenner
6,"2022-04-13",first_touch,2.0,Kylie Jenner
7,"2021-07-31",first_touch,3.0,Joe Biden
8,"2022-02-23",first_touch,2.0,Kylie Jenner
9,"2021-12-15",first_touch,3.0,Joe Biden
10,"2021-09-19",first_touch,2.0,Kylie Jenner
11,"2022-05-21",first_touch,3.0,Joe Biden
12,"2022-05-29",first_touch,3.0,Joe Biden
13,"2022-01-31",first_touch,2.0,Kylie Jenner
14,"2022-05-24",first_touch,3.0,Joe Biden
15,"2022-03-04",first_touch,3.0,Joe Biden
16,"2022-03-04",first_touch,3.0,Joe Biden
17,"2021-10-18",first_touch,2.0,Kylie Jenner
18,"2022-01-22",first_touch,3.0,Joe Biden
19,"2021-10-03",first_touch,2.0,Kylie Jenner
20,"2022-04-20",first_touch,1.0,Justin Beiber
21,"2021-06-27",first_touch,3.0,Joe Biden
22,"2022-03-19",first_touch,2.0,Kylie Jenner
23,"2022-03-13",first_touch,2.0,Kylie Jenner
24,"2021-10-30",first_touch,3.0,Joe Biden
25,"2022-05-15",first_touch,1.0,Justin Beiber
26,"2022-02-24",first_touch,1.0,Justin Beiber
27,"2022-02-03",first_touch,2.0,Kylie Jenner
28,"2022-05-26",first_touch,1.0,Justin Beiber
29,"2022-02-22",first_touch,1.0,Justin Beiber
30,"2022-02-24",first_touch,2.0,Kylie Jenner
31,"2022-04-08",first_touch,3.0,Joe Biden
32,"2021-10-07",first_touch,2.0,Kylie Jenner
33,"2022-02-12",first_touch,2.0,Kylie Jenner
34,"2022-03-03",first_touch,3.0,Joe Biden
35,"2022-01-01",first_touch,3.0,Joe Biden
36,"2021-10-22",first_touch,2.0,Kylie Jenner
37,"2022-01-16",first_touch,2.0,Kylie Jenner
38,"2022-01-26",first_touch,2.0,Kylie Jenner
39,"2021-06-10",first_touch,3.0,Joe Biden
40,"2022-05-02",first_touch,1.0,Justin Beiber
40,"2022-02-24",deal,3.0,Joe Biden
41,"2022-04-09",first_touch,1.0,Justin Beiber
42,"2022-05-03",first_touch,2.0,Kylie Jenner
43,"2021-09-14",first_touch,3.0,Joe Biden
44,"2021-10-05",first_touch,2.0,Kylie Jenner
45,"2021-11-02",first_touch,2.0,Kylie Jenner
46,"2021-08-03",first_touch,3.0,Joe Biden
47,"2022-05-06",first_touch,1.0,Justin Beiber
48,"2022-05-25",first_touch,1.0,Justin Beiber
49,"2022-03-06",first_touch,1.0,Justin Beiber
50,"2021-10-07",first_touch,3.0,Joe Biden
51,"2021-10-16",first_touch,2.0,Kylie Jenner
52,"2022-04-05",first_touch,1.0,Justin Beiber
53,"2021-10-23",first_touch,3.0,Joe Biden
54,"2022-01-13",first_touch,1.0,Justin Beiber
55,"2021-12-11",first_touch,2.0,Kylie Jenner
56,"2022-03-09",first_touch,1.0,Justin Beiber
57,"2021-07-15",first_touch,3.0,Joe Biden
58,"2022-01-05",first_touch,2.0,Kylie Jenner
59,"2021-05-30",first_touch,3.0,Joe Biden
60,"2022-02-27",first_touch,3.0,Joe Biden
61,"2022-01-03",first_touch,2.0,Kylie Jenner
62,"2021-07-05",first_touch,3.0,Joe Biden
63,"2022-02-03",first_touch,1.0,Justin Beiber
63,"2022-03-14",deal,2.0,Kylie Jenner
64,"2022-04-19",first_touch,1.0,Justin Beiber
65,"2022-05-07",first_touch,1.0,Justin Beiber
66,"2021-11-04",first_touch,2.0,Kylie Jenner
67,"2022-03-10",first_touch,1.0,Justin Beiber
